Type:          average
Points:        1350
Count:         4
XInc:          1.481481E-012
XOrg:          3.0912800000E-008
YData range:   8.52198E-003
YData center:  2.11200E-003
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0912800000E-008
YRange:        8.16000E-003
YOffset:       2.11200E-003
Date:          03 APR 2011
Time:          17:49:19:31
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1170578E-008, 2.72E-005
3.1172059E-008, 3.99E-005
3.1173541E-008, 3.52E-005
3.1175022E-008, 2.88E-005
3.1176504E-008, 6.26E-005
3.1177985E-008, -1.47E-005
3.1179467E-008, 3.46E-005
3.1180948E-008, 1.37E-005
3.1182430E-008, 4.91E-005
3.1183911E-008, 3.39E-005
3.1185393E-008, 4.18E-005
3.1186874E-008, 2.62E-005
3.1188356E-008, 5.07E-005
3.1189837E-008, 4.83E-005
3.1191319E-008, 3.40E-005
3.1192800E-008, 4.48E-005
3.1194281E-008, 3.67E-005
3.1195763E-008, 1.94E-005
3.1197244E-008, 6.56E-005
3.1198726E-008, 4.65E-005
3.1200207E-008, 6.15E-005
3.1201689E-008, 5.59E-005
3.1203170E-008, 6.40E-005
3.1204652E-008, 3.27E-005
3.1206133E-008, 4.30E-005
3.1207615E-008, 4.49E-005
3.1209096E-008, 3.40E-005
3.1210578E-008, 4.91E-005
3.1212059E-008, 5.15E-005
3.1213541E-008, 4.44E-005
3.1215022E-008, 2.30E-005
3.1216504E-008, 6.40E-005
3.1217985E-008, 4.13E-005
3.1219467E-008, 4.30E-005
3.1220948E-008, 3.28E-005
3.1222430E-008, 5.93E-005
3.1223911E-008, 7.47E-005
3.1225393E-008, 3.16E-005
3.1226874E-008, 3.40E-005
3.1228356E-008, 3.13E-005
3.1229837E-008, 3.51E-005
3.1231319E-008, 5.98E-005
3.1232800E-008, 4.31E-005
3.1234281E-008, 5.55E-005
3.1235763E-008, 6.02E-005
3.1237244E-008, 5.95E-005
3.1238726E-008, 6.91E-005
3.1240207E-008, 4.44E-005
3.1241689E-008, 6.50E-005
3.1243170E-008, 5.24E-005
3.1244652E-008, 3.86E-005
3.1246133E-008, 5.89E-005
3.1247615E-008, 1.98E-005
3.1249096E-008, 2.02E-005
3.1250578E-008, 3.83E-005
3.1252059E-008, 3.01E-005
3.1253541E-008, 4.06E-005
3.1255022E-008, 5.64E-005
3.1256504E-008, 2.47E-005
3.1257985E-008, 3.43E-005
3.1259467E-008, 2.68E-005
3.1260948E-008, 6.22E-005
3.1262430E-008, 3.11E-005
3.1263911E-008, 4.76E-005
3.1265393E-008, 2.26E-005
3.1266874E-008, 3.40E-005
3.1268356E-008, 4.19E-005
3.1269837E-008, 6.02E-005
3.1271319E-008, 4.09E-005
3.1272800E-008, 5.21E-005
3.1274281E-008, 4.36E-005
3.1275763E-008, 2.89E-005
3.1277244E-008, 2.74E-005
3.1278726E-008, 1.80E-005
3.1280207E-008, 5.17E-005
3.1281689E-008, 2.62E-005
3.1283170E-008, 3.55E-005
3.1284652E-008, 5.42E-005
3.1286133E-008, 1.94E-005
3.1287615E-008, 3.44E-005
3.1289096E-008, 4.09E-005
3.1290578E-008, 4.91E-005
3.1292059E-008, 2.89E-005
3.1293541E-008, 5.51E-005
3.1295022E-008, 5.95E-005
3.1296504E-008, 4.27E-005
3.1297985E-008, 3.44E-005
3.1299467E-008, 3.37E-005
3.1300948E-008, 3.90E-005
3.1302430E-008, 5.25E-005
3.1303911E-008, 2.99E-005
