Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.1000800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1000800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:47:18:70
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1246726E-008, 8.48595E-004
3.1248207E-008, 1.024052E-003
3.1249689E-008, 1.049869E-003
3.1251170E-008, 9.36896E-004
3.1252652E-008, 9.32826E-004
3.1254133E-008, 8.86323E-004
3.1255615E-008, 8.27823E-004
3.1257096E-008, 9.58092E-004
3.1258578E-008, 1.083273E-003
3.1260059E-008, 1.006375E-003
3.1261541E-008, 9.28926E-004
3.1263022E-008, 9.50419E-004
3.1264504E-008, 9.30749E-004
3.1265985E-008, 8.09553E-004
3.1267467E-008, 9.88401E-004
3.1268948E-008, 1.019728E-003
3.1270430E-008, 1.099933E-003
3.1271911E-008, 1.048936E-003
3.1273393E-008, 1.072717E-003
3.1274874E-008, 9.42025E-004
3.1276356E-008, 9.05696E-004
3.1277837E-008, 9.48299E-004
3.1279319E-008, 9.54955E-004
3.1280800E-008, 1.056863E-003
3.1282281E-008, 9.37786E-004
3.1283763E-008, 9.17862E-004
3.1285244E-008, 1.062459E-003
3.1286726E-008, 8.62287E-004
3.1288207E-008, 1.083400E-003
3.1289689E-008, 8.72800E-004
3.1291170E-008, 9.44569E-004
3.1292652E-008, 9.22568E-004
3.1294133E-008, 9.87765E-004
3.1295615E-008, 1.012140E-003
3.1297096E-008, 9.69537E-004
3.1298578E-008, 1.028291E-003
3.1300059E-008, 9.61483E-004
3.1301541E-008, 1.031767E-003
3.1303022E-008, 9.58346E-004
3.1304504E-008, 1.024942E-003
3.1305985E-008, 9.56481E-004
3.1307467E-008, 8.86874E-004
3.1308948E-008, 9.78863E-004
3.1310430E-008, 9.02050E-004
3.1311911E-008, 9.34141E-004
3.1313393E-008, 8.88146E-004
3.1314874E-008, 9.50376E-004
3.1316356E-008, 9.76828E-004
3.1317837E-008, 8.67756E-004
3.1319319E-008, 1.132447E-003
3.1320800E-008, 1.000864E-003
3.1322281E-008, 9.65468E-004
3.1323763E-008, 9.41898E-004
3.1325244E-008, 8.55208E-004
3.1326726E-008, 8.53428E-004
3.1328207E-008, 8.49358E-004
3.1329689E-008, 1.103917E-003
3.1331170E-008, 7.62583E-004
3.1332652E-008, 8.18285E-004
3.1334133E-008, 7.31511E-004
3.1335615E-008, 7.87425E-004
3.1337096E-008, 8.99210E-004
3.1338578E-008, 7.41261E-004
3.1340059E-008, 6.01539E-004
3.1341541E-008, 6.55800E-004
3.1343022E-008, 6.13281E-004
3.1344504E-008, 5.05947E-004
3.1345985E-008, 4.52153E-004
3.1347467E-008, 5.69830E-004
3.1348948E-008, 3.77374E-004
3.1350430E-008, 5.04760E-004
3.1351911E-008, 3.72711E-004
3.1353393E-008, 2.93906E-004
3.1354874E-008, 2.74152E-004
3.1356356E-008, 2.61562E-004
3.1357837E-008, 1.93693E-004
3.1359319E-008, 2.18831E-004
3.1360800E-008, 1.82926E-004
3.1362281E-008, 1.15482E-004
3.1363763E-008, 9.7550E-005
3.1365244E-008, 1.03019E-004
3.1366726E-008, 5.7787E-005
3.1368207E-008, 5.2361E-005
3.1369689E-008, 5.3463E-005
3.1371170E-008, 3.6210E-005
3.1372652E-008, 2.3111E-005
3.1374133E-008, 2.8071E-005
3.1375615E-008, 2.7562E-005
3.1377096E-008, 2.7181E-005
3.1378578E-008, 3.7439E-005
3.1380059E-008, 2.8707E-005
3.1381541E-008, 2.6333E-005
3.1383022E-008, 4.1127E-005
3.1384504E-008, 3.8669E-005
3.1385985E-008, 4.3925E-005
3.1387467E-008, 4.5282E-005
3.1388948E-008, 3.8838E-005
3.1390430E-008, 4.4519E-005
3.1391911E-008, 4.2484E-005
3.1393393E-008, 3.6464E-005
3.1394874E-008, 2.9470E-005
3.1396356E-008, 5.5625E-005
3.1397837E-008, 3.5108E-005
3.1399319E-008, 3.7270E-005
3.1400800E-008, 4.6087E-005
3.1402281E-008, 4.7147E-005
3.1403763E-008, 3.7143E-005
3.1405244E-008, 3.4557E-005
3.1406726E-008, 4.0280E-005
3.1408207E-008, 5.7829E-005
3.1409689E-008, 4.2865E-005
3.1411170E-008, 4.2993E-005
3.1412652E-008, 4.4476E-005
3.1414133E-008, 4.6045E-005
3.1415615E-008, 4.7825E-005
3.1417096E-008, 4.9394E-005
3.1418578E-008, 4.6130E-005
3.1420059E-008, 6.9063E-005
3.1421541E-008, 3.7821E-005
3.1423022E-008, 6.1009E-005
3.1424504E-008, 3.9728E-005
3.1425985E-008, 4.5282E-005
3.1427467E-008, 5.5879E-005
3.1428948E-008, 4.0534E-005
3.1430430E-008, 4.5706E-005
3.1431911E-008, 4.6681E-005
3.1433393E-008, 4.7401E-005
3.1434874E-008, 3.4345E-005
3.1436356E-008, 2.4298E-005
3.1437837E-008, 4.2738E-005
3.1439319E-008, 4.5578E-005
3.1440800E-008, 3.5786E-005
3.1442281E-008, 5.2446E-005
3.1443763E-008, 4.9945E-005
3.1445244E-008, 5.1005E-005
3.1446726E-008, 4.1339E-005
3.1448207E-008, 4.1721E-005
3.1449689E-008, 5.8762E-005
3.1451170E-008, 4.7528E-005
3.1452652E-008, 3.9220E-005
3.1454133E-008, 4.2696E-005
3.1455615E-008, 3.3624E-005
3.1457096E-008, 4.1297E-005
3.1458578E-008, 4.5790E-005
3.1460059E-008, 4.9648E-005
3.1461541E-008, 5.4989E-005
3.1463022E-008, 3.1165E-005
3.1464504E-008, 4.7316E-005
3.1465985E-008, 3.8075E-005
3.1467467E-008, 4.5918E-005
3.1468948E-008, 5.4481E-005
3.1470430E-008, 3.8372E-005
3.1471911E-008, 3.5320E-005
3.1473393E-008, 4.8503E-005
3.1474874E-008, 4.1890E-005
3.1476356E-008, 5.6812E-005
3.1477837E-008, 4.3544E-005
3.1479319E-008, 4.5112E-005
3.1480800E-008, 3.8372E-005
3.1482281E-008, 4.0237E-005
3.1483763E-008, 3.9432E-005
3.1485244E-008, 4.2950E-005
3.1486726E-008, 5.2234E-005
3.1488207E-008, 4.3628E-005
3.1489689E-008, 4.4561E-005
3.1491170E-008, 4.6426E-005
3.1492652E-008, 4.0364E-005
3.1494133E-008, 5.0199E-005
3.1495615E-008, 3.2734E-005
3.1497096E-008, 3.8753E-005
3.1498578E-008, 5.0114E-005
3.1500059E-008, 3.9050E-005
3.1501541E-008, 4.6765E-005
3.1503022E-008, 5.3336E-005
3.1504504E-008, 5.0030E-005
3.1505985E-008, 4.3501E-005
3.1507467E-008, 4.8800E-005
3.1508948E-008, 5.2658E-005
3.1510430E-008, 3.5108E-005
3.1511911E-008, 4.7105E-005
3.1513393E-008, 4.6130E-005
3.1514874E-008, 3.6973E-005
3.1516356E-008, 4.5070E-005
3.1517837E-008, 4.4900E-005
3.1519319E-008, 5.5837E-005
3.1520800E-008, 3.6083E-005
3.1522281E-008, 5.0581E-005
3.1523763E-008, 4.5918E-005
3.1525244E-008, 5.1852E-005
3.1526726E-008, 4.6384E-005
3.1528207E-008, 3.9093E-005
3.1529689E-008, 5.1344E-005
3.1531170E-008, 5.7787E-005
3.1532652E-008, 5.6388E-005
3.1534133E-008, 5.2743E-005
3.1535615E-008, 4.2653E-005
3.1537096E-008, 5.3590E-005
3.1538578E-008, 7.4913E-005
3.1540059E-008, 6.1009E-005
3.1541541E-008, 6.0882E-005
3.1543022E-008, 6.4909E-005
3.1544504E-008, 5.9059E-005
3.1545985E-008, 4.9606E-005
3.1547467E-008, 4.9860E-005
3.1548948E-008, 6.0924E-005
3.1550430E-008, 5.6515E-005
3.1551911E-008, 5.0623E-005
3.1553393E-008, 7.1649E-005
3.1554874E-008, 6.5375E-005
3.1556356E-008, 6.2535E-005
3.1557837E-008, 5.6388E-005
3.1559319E-008, 7.0674E-005
3.1560800E-008, 6.4061E-005
