Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.1144800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1144800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:24:51:74
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1390726E-008, 3.94458E-004
3.1392207E-008, 4.03191E-004
3.1393689E-008, 3.91660E-004
3.1395170E-008, 3.47743E-004
3.1396652E-008, 3.62834E-004
3.1398133E-008, 3.47997E-004
3.1399615E-008, 3.59231E-004
3.1401096E-008, 3.64360E-004
3.1402578E-008, 3.63385E-004
3.1404059E-008, 3.49523E-004
3.1405541E-008, 3.25360E-004
3.1407022E-008, 3.01240E-004
3.1408504E-008, 2.75847E-004
3.1409985E-008, 3.58765E-004
3.1411467E-008, 3.33033E-004
3.1412948E-008, 3.92890E-004
3.1414430E-008, 2.78942E-004
3.1415911E-008, 3.36170E-004
3.1417393E-008, 3.55755E-004
3.1418874E-008, 2.45283E-004
3.1420356E-008, 3.07429E-004
3.1421837E-008, 2.88056E-004
3.1423319E-008, 3.81486E-004
3.1424800E-008, 3.31126E-004
3.1426281E-008, 2.63766E-004
3.1427763E-008, 4.00859E-004
3.1429244E-008, 2.98612E-004
3.1430726E-008, 3.18196E-004
3.1432207E-008, 3.75212E-004
3.1433689E-008, 2.77331E-004
3.1435170E-008, 2.85004E-004
3.1436652E-008, 2.81528E-004
3.1438133E-008, 2.82884E-004
3.1439615E-008, 2.38501E-004
3.1441096E-008, 3.16331E-004
3.1442578E-008, 2.69489E-004
3.1444059E-008, 2.67708E-004
3.1445541E-008, 3.09294E-004
3.1447022E-008, 2.62070E-004
3.1448504E-008, 2.38119E-004
3.1449985E-008, 2.48420E-004
3.1451467E-008, 2.32566E-004
3.1452948E-008, 2.65631E-004
3.1454430E-008, 2.03189E-004
3.1455911E-008, 3.15738E-004
3.1457393E-008, 2.64063E-004
3.1458874E-008, 2.44436E-004
3.1460356E-008, 2.59696E-004
3.1461837E-008, 2.49226E-004
3.1463319E-008, 2.03104E-004
3.1464800E-008, 2.20569E-004
3.1466281E-008, 2.26504E-004
3.1467763E-008, 2.50455E-004
3.1469244E-008, 2.07174E-004
3.1470726E-008, 2.24554E-004
3.1472207E-008, 1.99713E-004
3.1473689E-008, 2.17644E-004
3.1475170E-008, 2.44181E-004
3.1476652E-008, 2.29175E-004
3.1478133E-008, 2.36254E-004
3.1479615E-008, 1.71141E-004
3.1481096E-008, 2.04376E-004
3.1482578E-008, 1.79704E-004
3.1484059E-008, 2.20866E-004
3.1485541E-008, 1.69912E-004
3.1487022E-008, 2.01027E-004
3.1488504E-008, 1.59568E-004
3.1489985E-008, 2.08488E-004
3.1491467E-008, 1.48716E-004
3.1492948E-008, 1.36720E-004
3.1494430E-008, 1.37695E-004
3.1495911E-008, 1.68301E-004
3.1497393E-008, 1.47360E-004
3.1498874E-008, 1.62833E-004
3.1500356E-008, 1.69149E-004
3.1501837E-008, 1.89624E-004
3.1503319E-008, 1.90556E-004
3.1504800E-008, 1.37186E-004
3.1506281E-008, 1.68682E-004
3.1507763E-008, 1.97593E-004
3.1509244E-008, 1.63765E-004
3.1510726E-008, 1.19212E-004
3.1512207E-008, 1.74066E-004
3.1513689E-008, 1.23112E-004
3.1515170E-008, 1.50115E-004
3.1516652E-008, 1.43417E-004
3.1518133E-008, 1.06155E-004
3.1519615E-008, 1.67411E-004
3.1521096E-008, 1.21501E-004
3.1522578E-008, 9.3777E-005
3.1524059E-008, 1.23536E-004
3.1525541E-008, 1.48886E-004
3.1527022E-008, 1.01492E-004
3.1528504E-008, 1.27945E-004
3.1529985E-008, 1.46766E-004
3.1531467E-008, 1.38373E-004
3.1532948E-008, 9.1531E-005
3.1534430E-008, 1.32396E-004
3.1535911E-008, 9.2463E-005
3.1537393E-008, 6.5333E-005
3.1538874E-008, 8.5553E-005
3.1540356E-008, 1.15651E-004
3.1541837E-008, 9.2506E-005
3.1543319E-008, 7.5379E-005
3.1544800E-008, 7.2624E-005
3.1546281E-008, 8.6952E-005
3.1547763E-008, 4.4646E-005
3.1549244E-008, 5.9483E-005
3.1550726E-008, 4.6850E-005
3.1552207E-008, 5.5074E-005
3.1553689E-008, 5.8635E-005
3.1555170E-008, 3.6888E-005
3.1556652E-008, 4.1721E-005
3.1558133E-008, 3.0021E-005
3.1559615E-008, 4.2145E-005
3.1561096E-008, 4.8715E-005
3.1562578E-008, 2.7435E-005
3.1564059E-008, 3.6931E-005
3.1565541E-008, 4.501E-006
3.1567022E-008, 1.7855E-005
3.1568504E-008, 2.3789E-005
3.1569985E-008, 2.8452E-005
3.1571467E-008, 1.6583E-005
3.1572948E-008, 1.6964E-005
3.1574430E-008, 4.671E-006
3.1575911E-008, 8.825E-006
3.1577393E-008, -2.89E-007
3.1578874E-008, 6.197E-006
3.1580356E-008, -1.4066E-005
3.1581837E-008, -5.206E-006
3.1583319E-008, -6.351E-006
3.1584800E-008, -1.730E-006
3.1586281E-008, -1.1014E-005
3.1587763E-008, -1.7033E-005
3.1589244E-008, -1.7669E-005
3.1590726E-008, -1.1565E-005
3.1592207E-008, -1.7584E-005
3.1593689E-008, -2.3519E-005
3.1595170E-008, -2.3265E-005
3.1596652E-008, -2.4876E-005
3.1598133E-008, -2.2714E-005
