Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.0940800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0940800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:22:15:12
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1186726E-008, 3.64954E-004
3.1188207E-008, 3.16119E-004
3.1189689E-008, 3.18493E-004
3.1191170E-008, 4.83140E-004
3.1192652E-008, 2.85089E-004
3.1194133E-008, 3.37739E-004
3.1195615E-008, 2.83308E-004
3.1197096E-008, 2.88946E-004
3.1198578E-008, 3.44945E-004
3.1200059E-008, 3.25488E-004
3.1201541E-008, 2.45962E-004
3.1203022E-008, 2.86403E-004
3.1204504E-008, 2.99629E-004
3.1205985E-008, 2.18535E-004
3.1207467E-008, 2.82206E-004
3.1208948E-008, 2.63427E-004
3.1210430E-008, 2.90769E-004
3.1211911E-008, 2.35661E-004
3.1213393E-008, 2.98018E-004
3.1214874E-008, 2.80341E-004
3.1216356E-008, 2.76017E-004
3.1217837E-008, 2.04291E-004
3.1219319E-008, 2.32057E-004
3.1220800E-008, 2.87378E-004
3.1222281E-008, 2.96662E-004
3.1223763E-008, 2.67624E-004
3.1225244E-008, 2.38628E-004
3.1226726E-008, 2.30574E-004
3.1228207E-008, 1.53676E-004
3.1229689E-008, 2.43291E-004
3.1231170E-008, 2.81146E-004
3.1232652E-008, 2.27267E-004
3.1234133E-008, 1.63002E-004
3.1235615E-008, 2.27818E-004
3.1237096E-008, 2.40875E-004
3.1238578E-008, 1.52447E-004
3.1240059E-008, 1.47868E-004
3.1241541E-008, 1.93948E-004
3.1243022E-008, 1.59272E-004
3.1244504E-008, 1.45452E-004
3.1245985E-008, 1.29004E-004
3.1247467E-008, 1.46681E-004
3.1248948E-008, 2.18831E-004
3.1250430E-008, 1.96194E-004
3.1251911E-008, 1.52319E-004
3.1253393E-008, 1.59950E-004
3.1254874E-008, 1.39475E-004
3.1256356E-008, 1.43545E-004
3.1257837E-008, 1.26334E-004
3.1259319E-008, 1.33583E-004
3.1260800E-008, 1.51684E-004
3.1262281E-008, 1.36550E-004
3.1263763E-008, 1.74787E-004
3.1265244E-008, 1.23239E-004
3.1266726E-008, 1.03697E-004
3.1268207E-008, 1.64231E-004
3.1269689E-008, 1.17898E-004
3.1271170E-008, 1.13574E-004
3.1272652E-008, 1.32947E-004
3.1274133E-008, 1.35024E-004
3.1275615E-008, 1.58593E-004
3.1277096E-008, 1.01747E-004
3.1278578E-008, 1.13108E-004
3.1280059E-008, 1.00094E-004
3.1281541E-008, 9.8398E-005
3.1283022E-008, 7.6566E-005
3.1284504E-008, 1.08148E-004
3.1285985E-008, 9.3989E-005
3.1287467E-008, 8.9665E-005
3.1288948E-008, 8.4494E-005
3.1290430E-008, 7.3133E-005
3.1291911E-008, 6.7961E-005
3.1293393E-008, 7.9279E-005
3.1294874E-008, 6.3510E-005
3.1296356E-008, 8.1781E-005
3.1297837E-008, 4.9224E-005
3.1299319E-008, 8.0424E-005
3.1300800E-008, 6.7961E-005
3.1302281E-008, 1.01026E-004
3.1303763E-008, 3.3836E-005
3.1305244E-008, 6.5375E-005
3.1306726E-008, 4.2060E-005
3.1308207E-008, 4.6808E-005
3.1309689E-008, 2.0992E-005
3.1311170E-008, 4.6596E-005
3.1312652E-008, 4.5451E-005
3.1314133E-008, 2.1034E-005
3.1315615E-008, 1.9169E-005
3.1317096E-008, 2.8452E-005
3.1318578E-008, 2.7520E-005
3.1320059E-008, 3.7821E-005
3.1321541E-008, 1.8151E-005
3.1323022E-008, -2.408E-006
3.1324504E-008, 2.0313E-005
3.1325985E-008, 1.1877E-005
3.1327467E-008, 3.781E-006
3.1328948E-008, -7.623E-006
3.1330430E-008, 3.05E-007
3.1331911E-008, 1.77E-007
3.1333393E-008, -1.5677E-005
3.1334874E-008, -1.6398E-005
3.1336356E-008, -8.258E-006
3.1337837E-008, -9.827E-006
3.1339319E-008, -1.6398E-005
3.1340800E-008, -1.2709E-005
3.1342281E-008, -2.6529E-005
3.1343763E-008, -8.894E-006
3.1345244E-008, -2.9157E-005
3.1346726E-008, -2.7419E-005
3.1348207E-008, -3.0514E-005
3.1349689E-008, -2.6402E-005
3.1351170E-008, -2.9200E-005
3.1352652E-008, -3.9119E-005
3.1354133E-008, -3.0683E-005
3.1355615E-008, -3.2464E-005
3.1357096E-008, -3.5940E-005
3.1358578E-008, -4.7216E-005
3.1360059E-008, -4.4503E-005
3.1361541E-008, -4.0518E-005
3.1363022E-008, -4.3697E-005
3.1364504E-008, -5.6076E-005
3.1365985E-008, -3.4329E-005
3.1367467E-008, -3.7805E-005
3.1368948E-008, -4.3401E-005
3.1370430E-008, -5.2260E-005
3.1371911E-008, -4.1832E-005
3.1373393E-008, -5.6712E-005
3.1374874E-008, -5.6330E-005
3.1376356E-008, -4.0306E-005
3.1377837E-008, -4.5902E-005
3.1379319E-008, -4.4715E-005
3.1380800E-008, -4.5393E-005
3.1382281E-008, -4.9420E-005
3.1383763E-008, -4.9463E-005
3.1385244E-008, -4.2892E-005
3.1386726E-008, -4.3104E-005
3.1388207E-008, -5.1201E-005
3.1389689E-008, -4.6156E-005
3.1391170E-008, -5.0777E-005
